timestamp,test-class,test-method,time,description,result
2021-08-09 14:05:09.206,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4908,"[1] index=0, title=Create TaskService, executionStart=2021/02/13 19:39, executionEnd=2021/05/14 19:39, workload=50.5, description=Create service of task entity, link=https://github.com/task2",OK
2021-08-09 14:05:13.152,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,3724,"[2] index=1, title=Entidad Plan, executionStart=2021/05/01 19:39, executionEnd=2020/07/01 19:39, workload=30.0, description=Crear la entidad Plan, link=https://github.com/task4",Expected value '2020/07/01 19:39' in attribute 2 of record 1, but found '2021/07/01 19:39'
2021-08-09 14:05:17.074,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,3698,"[3] index=2, title=Vistas de la entidad Plan, executionStart=2021/05/01 19:39, executionEnd=2020/07/01 19:39, workload=30.0, description=Crear la vistas referidas a la entidad Plan, link=https://github.com/task3",Expected value '2020/07/01 19:39' in attribute 2 of record 2, but found '2021/07/01 19:39'
2021-08-09 14:05:17.552,acme.testing.authenticated.task.AuthenticatedTaskListTest,listNegative,236,"listNegative()",OK
