timestamp,test-class,test-method,time,description,result
2021-08-09 14:06:23.401,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4925,"[1] index=0, title=Create TaskService, executionStart=2021/02/13 19:39, executionEnd=2021/05/14 19:39, workload=50.5, description=Create service of task entity, link=https://github.com/task2",OK
2021-08-09 14:06:28.487,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4881,"[2] index=1, title=Entidad Plan, executionStart=2021/05/01 19:39, executionEnd=2021/07/01 19:39, workload=30.0, description=Crear la entidad Plan, link=https://github.com/task4",Expected value 'https://github.com/task4' in attribute 5 of record 1, but found 'https://github.com/task1'
2021-08-09 14:06:33.547,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4828,"[3] index=2, title=Vistas de la entidad Plan, executionStart=2021/05/01 19:39, executionEnd=2021/07/01 19:39, workload=30.0, description=Crear la vistas referidas a la entidad Plan, link=https://github.com/task3",Expected value 'https://github.com/task3' in attribute 5 of record 2, but found 'https://github.com/task1'
2021-08-09 14:06:34.004,acme.testing.authenticated.task.AuthenticatedTaskListTest,listNegative,234,"listNegative()",OK
