timestamp,test-class,test-method,time,description,result
2021-08-11 11:19:58.529,acme.testing.anonymous.task.AnonymousTaskListTest,listPositive,3180,"[1] index=0, title=Diseñar nueva web, executionStart=2021/05/01 12:00, executionEnd=2023/06/22 20:00, workload=50.0, description=Montar nueva web para el colegio Poetas Andaluces de Montequinto, link=https://github.com/task1",OK
2021-08-11 11:20:00.194,acme.testing.anonymous.task.AnonymousTaskListTest,listPositive,1460,"[2] index=1, title=Create TaskView, executionStart=2020/02/13 19:39, executionEnd=2022/10/14 19:39, workload=21.3, description=Create view of task entity, link=https://github.com/task3",Expected value '2022/10/14 19:39' in attribute 2 of record 1, but found '2021/10/14 19:39'
2021-08-11 11:20:03.585,acme.testing.anonymous.task.AnonymousTaskListTest,listPositive,3171,"[3] index=2, title=Create PlanService, executionStart=2021/02/13 19:39, executionEnd=2022/06/14 19:39, workload=20.5, description=Create controller of task entity, link=https://github.com/task1",OK
2021-08-11 11:20:04.853,acme.testing.anonymous.task.AnonymousTaskListTest,listPositiveNoTaskPrivate,1030,"[1] index=0, title=Create TaskValidators, executionStart=2017/08/13 19:39, executionEnd=2018/10/13 19:39, workload=100.20, description=Create validators of task entity, link=https://github.com/task5",OK
2021-08-11 11:20:07.535,acme.testing.anonymous.task.AnonymousTaskListTest,listNegative,2454,"listNegative()",OK
